Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;Maakond;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Käive;Töötajate arv
10129485;ABOVO, OÜ;Äriühing;jah;Viljandi maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1161221,40;9475,13;245791,53;10,00
10054238;OG ELEKTRA, AS;Äriühing;jah;Lääne-Viru maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1470907,23;1009066,00;28995013,81;1215,00
70005967;PÕLLUMAJANDUSE REGISTRITE JA INFORMATSIOONI AMET;Valitsus- ja riigiasutus;jah;Tartu maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1819947,95;1835153,62;0,00;387,00
70000740;HARIDUS- JA TEADUSMINISTEERIUM;Valitsus- ja riigiasutus;ei;Tartu maakond;" AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1367637,63;1416782,64;0,00;313,00
10051872;ANNE SOOJUS, AS;Äriühing;jah;Tartu maakond;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ?HUGA VARUSTAMINE;1404351,17;138239,18;12345081,64;45,00
11107675;PÕLLUMEESTE ÜHISTU KEVILI;Äriühing;jah;Tartu maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1272212,71;94745,93;14344335,43;34,00
10163950;SAINT-GOBAIN GLASS ESTONIA SE;Äriühing;jah;Tartu maakond;TÖÖTLEV TÖÖSTUS;1429588,24;1388235,08;21734340,85;539,00
10209474;MAAG GRUPP, AS;Äriühing;jah;Tartu maakond;"HULGI- JA JAEKAUBANDUS; MOOTORS?IDUKITE JA MOOTORRATASTE REMONT";1670422,10;165992,66;15302044,60;72,00
74001086;EESTI MAAÜLIKOOL;Valitsus- ja riigiasutus;jah;Tartu maakond;HARIDUS;1602457,62;1570437,28;1050146,07;934,00
60001146;SIA SEVERSTAL DISTRIBUTION;Mitteresident;jah;;;1399053,18;0,00;2791029,60;0,00
60251679;NORDEA BANK FINLAND PLC;Mitteresident;ei;;;1081228,39;0,00;0,00;0,00
60087542;DIEFFENBACHER PANELBOARD OY;Mitteresident;jah;;;1016183,63;0,00;6631461,06;0,00
